ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label,title,time_published,overall_sentiment_score,overall_sentiment_label
AMZN,0.062271,0.299556,Somewhat-Bullish,"EXCLUSIVE: Top 10 Most Searched Tickers On Pro In March - Including Tesla, Apple, AMC And More - SPDR S&P 500  ( ARCA:SPY ) ",2023-04-10 19:02:47,0.34722,Somewhat-Bullish
AMZN,0.193852,0.149505,Neutral,"Why Apple, Amazon, Alphabet, and Microsoft All Slumped Monday Morning",2023-04-10 17:01:18,0.053586,Neutral
AMZN,0.164468,-0.025242,Neutral,Apple Issues New Warnings To Store Employees Over Unionization - Here's What You Should Know - Apple  ( NASDAQ:AAPL ) ,2023-04-09 18:40:57,0.052048,Neutral
AMZN,0.146321,0.091392,Neutral,A Bull Market Is Coming: 1 FAANG Stock-Heavy Index Fund to Buy Now,2023-04-09 11:22:00,0.226122,Somewhat-Bullish
AMZN,0.714306,0.292656,Somewhat-Bullish,Here's How Amazon Could Become a $5 Trillion Stock Within a Decade,2023-04-08 13:15:00,0.198621,Somewhat-Bullish
